GENERATION,TIME,ACCURACY
original,8100,0.46202840909090903
0,8755,0.531375
1,6974,0.4533750000000001
2,8750,0.532305
3,13147,0.5302908163265306
4,8241,0.45209499999999997
5,14876,0.5333150000000001
6,7105,0.4613520408163265
7,6615,0.4867295918367347
8,8155,0.4179250000000001
9,7818,0.4678214285714286
10,8500,0.4421550000000001
11,10076,0.6218979591836735
12,9256,0.4702091836734694
13,11418,0.5178400000000001
14,10275,0.48950531914893625
15,9169,0.5028724489795918
16,11482,0.5077244897959183
17,9305,0.48487
18,9868,0.6045585106382979
19,10268,0.4637700000000002
20,9388,0.544841836734694
21,11351,0.49132
22,8336,0.47866836734693885
23,10337,0.536635
24,8524,0.4471836734693878
25,7451,0.5079148936170212
26,8293,0.48935638297872347
27,10024,0.4352602040816327
28,12608,0.5386299999999999
29,9419,0.518845
30,9185,0.5158000000000001
31,11534,0.53373
32,10665,0.3968250000000001
33,8732,0.5060450000000001
34,9152,0.5148297872340425
35,8874,0.47363775510204087
36,9516,0.4585357142857142
37,11283,0.5619739583333332
38,10466,0.49290499999999987
39,10449,0.5145408163265307
40,9005,0.491435
41,10157,0.508857142857143
42,7907,0.5312699999999999
43,11954,0.56888
44,8212,0.4909700000000001
45,9969,0.48405000000000004
46,9300,0.4572448979591837
47,9871,0.553455
48,14789,0.5099250000000001
49,13393,0.51993
50,10772,0.4457700000000001
51,7706,0.415795918367347
52,12781,0.54189
53,13019,0.5608299999999998
54,6290,0.4258699999999999
55,8419,0.49654166666666666
56,10001,0.5101530612244897
57,13665,0.509155
58,9918,0.4979849999999999
59,11216,0.49573999999999985
60,12784,0.5918499999999999
61,6819,0.47071354166666673
62,10679,0.4809285714285715
63,14009,0.44982500000000003
64,8639,0.49760999999999983
65,7876,0.39691000000000004
66,6937,0.4330255102040818
67,9884,0.53498
68,15085,0.5340949999999999
69,11882,0.5035357142857143
70,11396,0.554575
71,10483,0.4462699999999999
72,10342,0.4605350000000001
73,10369,0.49826499999999996
74,9635,0.5202699999999999
75,8466,0.4544270833333333
76,9078,0.48433673469387767
77,8823,0.48604999999999987
78,10790,0.43910714285714314
79,9870,0.5040899999999999
80,9316,0.44967
81,10684,0.5420250000000001
82,10930,0.4525459183673471
83,9636,0.540595
84,9706,0.4905989583333334
85,9182,0.5050380434782609
86,9211,0.5302550000000001
87,8055,0.45068877551020414
88,14725,0.54525
89,11533,0.581625
90,11725,0.5316428571428571
91,9234,0.5219650000000001
92,7781,0.4578549999999999
93,10003,0.4943550000000001
94,11687,0.49058999999999986
95,8029,0.5312602040816324
96,9381,0.4646302083333334
97,10285,0.43192499999999995
98,7366,0.44258000000000003
99,6153,0.42781499999999995
